Brand,Weight,SoC,CPU,GPU,RAM,Storage,Memory cards,Display,Battery,OS,Camera,SIM card,Wi-Fi,USB,Bluetooth,Positioning,priceUrl,imageUrl,name
lava,174 g,Spreadtrum SC9832,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 512 MHz, Cores: 2",1 GB,8 GB,"microSD, microSDHC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","2600 mAh, Li-Polymer",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/6272418f/320/main.jpg,X28+;
lava,154 g,,"1300 MHz, Cores: 4",,2 GB,32 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Polymer",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/9897410d/320/main.jpg,X41+;
lava,,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",1 GB,8 GB,"microSD, microSDHC","4 in, TFT, 480 x 800 pixels, 24 bit","1550 mAh, Li-Ion",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",2.1,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/3f8640d8/320/main.jpg,A55;
lava,,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",512 MB,8 GB,"microSD, microSDHC","4 in, TFT, 480 x 800 pixels, 24 bit","1550 mAh, Li-Ion",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",2.1,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/591b40d7/320/main.jpg,A50;
lava,,Spreadtrum SC7731G,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",2 GB,8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","2200 mAh, Li-Ion",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","Micro-SIM, Mini-SIM","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/e75440a1/320/main.jpg,X19;
lava,155 g,Spreadtrum SC8830,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2",2 GB,32 GB,"microSD, microSDHC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","2800 mAh, Li-Polymer",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/4ed33fef/320/main.jpg,X50 Plus;
lava,,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",512 MB,8 GB,"microSD, microSDHC","4.5 in, TFT, 480 x 854 pixels, 24 bit","1750 mAh, Li-Ion",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps","Mini-SIM, Micro-SIM","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",2.1,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/aef03f7f/320/main.jpg,A51;
lava,135 g,Spreadtrum SC9830A,"ARM Cortex-A7, 1500 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2",1 GB,8 GB,"microSD, microSDHC","4.5 in, IPS, 480 x 854 pixels, 24 bit","1850 mAh, Li-Polymer",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/78953f20/320/main.jpg,A76+;
lava,160 g,Spreadtrum SC9832,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 512 MHz, Cores: 2","1 GB, 2 GB",8 GB,"microSD, microSDHC","5 in, TFT, 480 x 800 pixels, 24 bit","2350 mAh, Li-Polymer",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/696e44b9,https://www.devicespecifications.com/images/model/696e44b9/320/main.jpg,A97;
lava,,MediaTek MT6571,"ARM Cortex-A7, 1300 MHz, Cores: 2","ARM Mali-400 MP1, Cores: 1",512 MB,4 GB,"microSD, microSDHC","5 in, TFT, 480 x 854 pixels, 24 bit","1850 mAh, Li-Ion",Android 4.4.2 KitKat,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Mini-SIM,"b, g, n","2.0, Micro USB",2.1,,,https://www.devicespecifications.com/images/model/80613e91/320/main.jpg,A56;
