Brand,Weight,SoC,CPU,GPU,RAM,Storage,Memory cards,Display,Battery,OS,Camera,SIM card,Wi-Fi,USB,Bluetooth,Positioning,priceUrl,imageUrl,name,
output/lava.txt,154g, , ,32GB,microSDmicroSDHC,5inIPS720x1280pixels24bit,2500mAhLi-Polymer,Android6.0Marshmallow,3264x2448pixels1920x1080pixels30fps,Micro-SIM,bgnWi-FiHotspot,2.0MicroUSB,4.0,GPSA-GPS,,https://www.devicespecifications.com/images/model/9897410d/320/main.jpg,X41+;,
output/lava.txt, ,ARMCortex-A71200MHzCores:4,ARMMali-400MP2400MHzCores:2,1GB,8GB,microSDmicroSDHC,4inTFT480x800pixels24bit,1550mAhLi-Ion,Android6.0Marshmallow,2592x1944pixels1280x720pixels30fps, ,2.0MicroUSB,2.1,GPSA-GPS,,https://www.devicespecifications.com/images/model/3f8640d8/320/main.jpg,A55;,
output/lava.txt, ,ARMCortex-A71200MHzCores:4,ARMMali-400MP2400MHzCores:2,512MB,8GB,microSDmicroSDHC,4inTFT480x800pixels24bit,1550mAhLi-Ion,Android6.0Marshmallow,2592x1944pixels1280x720pixels30fps, ,2.0MicroUSB,2.1,GPSA-GPS,,https://www.devicespecifications.com/images/model/591b40d7/320/main.jpg,A50;,
output/lava.txt, ,ARMCortex-A71300MHzCores:4,ARMMali-400MP2400MHzCores:2,2GB,8GB,microSDmicroSDHC,5inIPS720x1280pixels24bit,2200mAhLi-Ion,Android6.0Marshmallow,3264x2448pixels1280x720pixels30fps,Micro-SIMMini-SIM,bgnWi-FiHotspot,2.0MicroUSB,4.0,GPSA-GPS,,https://www.devicespecifications.com/images/model/e75440a1/320/main.jpg,X19;,
output/lava.txt,155g,SpreadtrumSC8830,ARMCortex-A71300MHzCores:4,ARMMali-400MP2Cores:2,2GB,32GB,microSDmicroSDHC,5.5inIPS720x1280pixels24bit,2800mAhLi-Polymer,Android6.0Marshmallow,3264x2448pixels1920x1080pixels30fps,Micro-SIM,bgnWi-FiHotspot,2.0MicroUSB,4.0,GPSA-GPS,,https://www.devicespecifications.com/images/model/4ed33fef/320/main.jpg,X50Plus;,
output/lava.txt, ,ARMCortex-A71200MHzCores:4,ARMMali-400MP2400MHzCores:2,512MB,8GB,microSDmicroSDHC,4.5inTFT480x854pixels24bit,1750mAhLi-Ion,Android6.0Marshmallow,2592x1944pixels1280x720pixels30fps,Mini-SIMMicro-SIM,bgnWi-FiHotspot,2.0MicroUSB,2.1,GPSA-GPS,,https://www.devicespecifications.com/images/model/aef03f7f/320/main.jpg,A51;,
output/lava.txt,135g,SpreadtrumSC9830A,ARMCortex-A71500MHzCores:4,ARMMali-400MP2Cores:2,1GB,8GB,microSDmicroSDHC,4.5inIPS480x854pixels24bit,1850mAhLi-Polymer,Android6.0Marshmallow,2592x1944pixels1280x720pixels30fps, ,2.0MicroUSB,4.0,GPSA-GPS,,https://www.devicespecifications.com/images/model/78953f20/320/main.jpg,A76+;,
output/lava.txt,160g,SpreadtrumSC9832,ARMCortex-A71300MHzCores:4,ARMMali-400MP2512MHzCores:2,1GB2GB,8GB,microSDmicroSDHC,5inTFT480x800pixels24bit,2350mAhLi-Polymer,Android6.0Marshmallow,2592x1944pixels1280x720pixels30fps,Micro-SIM,bgnWi-FiHotspot,2.0MicroUSB,4.0,GPSA-GPS,https://www.devicespecifications.com/en/price/696e44b9,https://www.devicespecifications.com/images/model/696e44b9/320/main.jpg,A97;,
output/lava.txt, ,ARMCortex-A71300MHzCores:2,ARMMali-400MP1Cores:1,512MB,4GB,microSDmicroSDHC,5inTFT480x854pixels24bit,1850mAhLi-Ion,Android4.4.2KitKat,2592x1944pixels1280x720pixels30fps,Mini-SIM,bgn,2.0MicroUSB,2.1, ,https://www.devicespecifications.com/images/model/80613e91/320/main.jpg,A56;,
output/lava.txt,175g,MediaTekMT6735,ARMCortex-A531300MHzCores:4,ARMMali-T720MP2600MHzCores:2,1GB640MHz,8GB,microSDmicroSDHCmicroSDXC,5.5inIPS720x1280pixels24bit,2600mAhLi-Polymer,Android6.0Marshmallow,3264x2448pixels1920x1080pixels30fps,Micro-SIM,bgnWi-FiHotspot,2.0MicroUSB,4.0,GPSA-GPS,,https://www.devicespecifications.com/images/model/5faa3e7d/320/main.jpg,X28;,
output/lava.txt, ,ARMCortex-A71300MHzCores:4,ARMMali-400MP2Cores:2,1GB533MHz,8GB,microSDmicroSDHCmicroSDXC,5inIPS720x1280pixels24bit,2500mAhLi-Ion,Android6.0Marshmallow,3264x2448pixels1280x720pixels30fps,Micro-SIM,bgnWi-FiHotspot,2.0MicroUSB,4.0,GPSA-GPS,https://www.devicespecifications.com/en/price/beef3e0c,https://www.devicespecifications.com/images/model/beef3e0c/320/main.jpg,P7+;,
